Feature,Healthy_mean,IBD_mean,Fold_Change,Log2_FC,P_value,Difference
PWY-1042: glycolysis IV (plant cytosol),585.035,353.9103333333333,1.653059955864527,0.7251390515871419,0.1,231.12466666666666
PWY-2942: L-lysine biosynthesis III,539.256,354.64366666666666,1.520557254182837,0.6046001397955684,0.1,184.6123333333333
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis,528.159,360.55299999999994,1.4648581484552898,0.550760966061526,0.1,167.60600000000005
PWY-3841: folate transformations II,553.355,382.75399999999996,1.4457197050847281,0.5317878709044176,0.1,170.60100000000006
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),509.353,367.483,1.386058674823053,0.4709883311291767,0.1,141.87
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation,561.862,405.7676666666666,1.3846889394012831,0.46956192141134345,0.1,156.09433333333334
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),516.254,376.1116666666667,1.3726083122476924,0.45691999649981285,0.1,140.14233333333334
TRNA-CHARGING-PWY: tRNA charging,514.381,375.4053333333334,1.370201630948237,0.45438820746687597,0.1,138.9756666666666
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),506.378,371.6296666666667,1.3625876656779283,0.44634905247317475,0.1,134.74833333333328
PWY-6609: adenine and adenosine salvage III,543.896,400.0593333333333,1.3595383351469532,0.44311683186775447,0.1,143.83666666666664
PWY-5686: UMP biosynthesis,543.069,399.53299999999996,1.3592594353908187,0.44282084273546074,0.1,143.536
PWY-7219: adenosine ribonucleotides de novo biosynthesis,555.627,410.0073333333333,1.3551635661801171,0.43846699318457866,0.1,145.61966666666666
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),509.858,376.4736666666667,1.3542992382822703,0.4375465438525781,0.1,133.3843333333333
PWY-7221: guanosine ribonucleotides de novo biosynthesis,536.493,397.02233333333334,1.351291740934809,0.4343391829993799,0.1,139.47066666666672
PWY-5973: cis-vaccenate biosynthesis,495.947,379.13100000000003,1.308115136984314,0.3874895287915726,0.1,116.81599999999997
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),530.523,412.8216666666667,1.2851142341527615,0.3618966066726083,0.1,117.70133333333331
VALSYN-PWY: L-valine biosynthesis,530.523,412.8216666666667,1.2851142341527615,0.3618966066726083,0.1,117.70133333333331
PWY-6737: starch degradation V,489.777,396.09666666666664,1.2365087646954869,0.30627246596149327,0.1,93.68033333333335
PWY-7111: pyruvate fermentation to isobutanol (engineered),508.865,412.8216666666667,1.2326509025285333,0.3017642737862296,0.1,96.0433333333333
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I,693.695,611.8463333333334,1.1337732404487182,0.18113212388408972,0.1,81.84866666666665
