species,MSM5LLHV,HSM7CZ2A,HSM6XRQE,CSM5FZ4C,CSM9X1ZO
Acidaminococcus_intestini,8.3574,0.0,0.0,0.0,0.0
Adlercreutzia_equolifaciens,0.00967,0.0,0.0,0.0,0.0
Agathobaculum_butyriciproducens,0.0,0.0,0.0,0.0,0.00198
Akkermansia_muciniphila,4.65323,1.3046,0.0,4.80816,7.2192
Alistipes_finegoldii,12.47335,0.88647,0.0,0.0,12.84857
Alistipes_onderdonkii,6.17224,0.0,0.0,0.0,0.0
Alistipes_putredinis,0.0,13.96703,0.0,0.0,7.62614
Alistipes_shahii,0.00069,0.31839,0.0,0.0,0.17834
Alistipes_timonensis,0.01666,0.0,0.0,0.0,0.0
Anaerostipes_hadrus,0.01179,0.10848,0.0,0.02517,0.02366
Anaerotignum_lactatifermentans,0.0,0.0,0.0,0.03923,0.0
Anaerotruncus_colihominis,0.01543,0.0,0.0,0.0075,0.0
Asaccharobacter_celatus,0.01922,0.0,0.0,0.0,0.0
Bacteroides_caccae,0.0,2.28686,0.0,2.3039,0.0
Bacteroides_cellulosilyticus,0.0,0.0,0.0,0.0,7.08531
Bacteroides_dorei,0.50463,0.01543,0.0,0.0,0.28019
Bacteroides_faecis,0.0,2.1737,0.0,0.0,0.0
Bacteroides_faecis_CAG_32,0.0,0.96998,0.0,0.0,0.0
Bacteroides_fragilis,0.0,0.0,0.0,16.73874,0.0
Bacteroides_galacturonicus,0.0,0.0,0.0,0.0,0.00202
Bacteroides_massiliensis,0.0,0.0,0.0,0.0,4.57324
Bacteroides_ovatus,0.00583,1.89392,0.0,0.0,6.19934
Bacteroides_sp_43_108,0.00105,0.0,0.0,0.0,0.0
Bacteroides_stercoris,11.72998,23.97066,2.13699,0.0,1.17688
Bacteroides_thetaiotaomicron,2.74801,0.16658,0.0,26.46909,2.84209
Bacteroides_uniformis,25.92345,13.44331,0.0,28.74672,20.16483
Bacteroides_vulgatus,4.42166,20.82465,5.64702,12.29822,13.05243
Bacteroides_xylanisolvens,1.18367,2.14308,0.0,0.0,0.35767
Bifidobacterium_adolescentis,0.18794,0.5794,0.0,0.0,0.0
Bifidobacterium_longum,0.02219,0.1536,0.0,0.0,0.0
Bilophila_wadsworthia,0.33464,0.0,0.0,0.0,0.0
Blautia_hydrogenotrophica,0.04309,0.0,0.0,0.0,0.0
Blautia_obeum,0.04043,0.54446,0.0,0.0,0.0
Blautia_sp_CAG_257,0.0,0.15389,0.0,0.0,0.0
Blautia_wexlerae,0.0,0.0,0.0,0.0,0.00579
Butyricimonas_synergistica,0.12859,0.0,0.0,0.0,0.0
Butyricimonas_virosa,0.02158,0.0,0.0,0.0,0.0
Candidatus_Gastranaerophilales_bacterium,0.0,0.0,0.0,0.0,0.09385
Candidatus_Methanomassiliicoccus_intestinalis,0.0,0.45766,0.0,0.0,0.76183
Clostridium_bolteae,0.04093,0.0,0.0,0.0,0.0
Clostridium_citroniae,0.1085,0.0,0.0,0.0,0.0
Clostridium_clostridioforme,0.02256,0.0,0.0,0.09282,0.0
Clostridium_leptum,1.20634,0.33731,0.0,0.01805,0.04534
Clostridium_saccharolyticum,0.0,0.0,0.0,0.00032,0.0
Clostridium_sp_CAG_167,0.0,0.0,0.0,0.0,0.10857
Clostridium_sp_CAG_242,0.10281,0.0,0.0,0.0,0.0
Clostridium_sp_CAG_253,0.0,0.0,0.0,0.0,0.02364
Clostridium_sp_CAG_58,0.0,0.00544,0.0,0.0,0.03906
Clostridium_sp_CAG_964,0.02683,0.07782,0.0,0.0,0.0
Collinsella_aerofaciens,0.11326,0.48388,4.90193,0.0,0.00163
Coprococcus_comes,0.0,0.0,0.0,0.0,0.07215
Dialister_invisus,0.55197,0.00222,0.0,0.68322,0.0
Dialister_pneumosintes,0.07458,0.0,0.0,0.0,0.0
Dorea_formicigenerans,0.0,0.00055,0.0,0.0,0.00156
Dorea_longicatena,0.1362,0.07865,0.0,0.0,0.0134
Eikenella_corrodens,0.05634,0.0,0.0,0.0,0.0
Eisenbergiella_massiliensis,0.0,0.00607,0.0,0.0,0.0
Eisenbergiella_tayi,0.0637,0.01329,0.0,0.0,0.0
Escherichia_coli,0.59794,0.0,0.0,0.0,0.0
Eubacterium_eligens,0.85172,0.0,0.0,0.0,1.064
Eubacterium_hallii,0.0,0.06817,0.0,0.01069,0.0
Eubacterium_rectale,0.79425,0.82955,0.82388,0.0,0.37256
Eubacterium_siraeum,0.0,1.06157,0.0,0.0,0.94808
Eubacterium_sp_CAG_38,0.0,0.0,0.0,0.16858,0.238
Eubacterium_ventriosum,0.0,0.00275,0.0,0.0,0.0
Faecalibacterium_prausnitzii,5.05891,0.81376,4.05519,2.74544,1.61841
Firmicutes_bacterium_CAG_83,2.66605,0.15778,0.0,0.0,0.0
Flavonifractor_plautii,0.68448,0.23614,0.0,1.38266,0.0251
Fusicatenibacter_saccharivorans,0.01143,0.02037,0.0,0.03172,0.02845
Gemella_asaccharolytica,0.05507,0.0,0.0,0.0,0.0
Gemmiger_formicilis,0.00126,0.00067,0.0,0.0,0.0
Hungatella_hathewayi,0.0784,0.0,0.0,0.00781,0.0
Intestinibacter_bartlettii,0.0,0.0,0.0,0.0,0.0067
Intestinimonas_butyriciproducens,0.0,0.00042,0.0,0.24496,0.00161
Lachnospira_pectinoschiza,0.6149,0.00247,0.0,0.0,0.34523
Lactobacillus_rogosae,0.0,0.0,0.0,0.0,0.00465
Lawsonibacter_asaccharolyticus,0.01608,0.01093,0.0,0.06799,0.02776
Megasphaera_sp_DISK_18,0.0,0.07813,0.0,0.0,0.0
Monoglobus_pectinilyticus,0.0,0.01537,0.0,0.03769,0.0
Odoribacter_splanchnicus,0.49187,1.01064,0.0,0.0,0.0
Oscillibacter_sp_57_20,0.0,0.0,0.0,0.0,2.3426
Oscillibacter_sp_CAG_241,0.0,0.00729,0.0,0.0,0.1025
Parabacteroides_distasonis,2.01622,1.87752,0.0,0.0,2.93205
Parabacteroides_goldsteinii,0.0,2.61637,0.0,0.0,0.0
Parabacteroides_merdae,0.0,2.47538,0.0,0.0,3.3848
Parasutterella_excrementihominis,0.66517,0.08872,0.0,0.0,0.01351
Parvimonas_micra,0.0,0.0,0.76622,0.0,0.0
Peptoniphilus_coxii,0.22995,0.0,0.0,0.0,0.0
Peptoniphilus_harei,0.09967,0.0,0.0,0.0,0.0
Phascolarctobacterium_faecium,0.0,0.0,0.0,0.0,0.07613
Porphyromonas_asaccharolytica,0.0032,0.0,10.47214,0.0,0.0
Porphyromonas_uenonis,0.0,0.0,2.04146,0.0,0.0
Prevotella_bivia,1.30899,0.0,0.0,0.0,0.0
Prevotella_stercorea,0.0,0.0,69.15517,0.0,0.0
Proteobacteria_bacterium_CAG_139,0.01194,0.0,0.0,0.0,0.17462
Roseburia_faecis,0.10726,0.05235,0.0,2.73659,0.11169
Roseburia_hominis,0.0,0.0,0.0,0.07991,0.1178
Roseburia_intestinalis,0.0,0.0,0.0,0.01467,0.19631
Roseburia_inulinivorans,0.0,0.0,0.0,0.17059,0.02326
Ruminococcaceae_bacterium_D16,0.0,0.01908,0.0,0.0,0.0044
Ruminococcus_bicirculans,1.21672,0.0,0.0,0.0016,0.72812
Ruminococcus_bromii,0.0,0.0,0.0,0.0,0.19274
Ruminococcus_gnavus,0.08407,0.00651,0.0,0.0,0.0
Ruminococcus_lactaris,0.24804,1.05187,0.0,0.0,0.05502
Ruminococcus_torques,0.0,0.0,0.0,0.0,0.03468
Ruthenibacterium_lactatiformans,0.55247,0.12182,0.0,0.06795,0.03051
Sellimonas_intestinalis,0.0,0.00499,0.0,0.0,0.0
Streptococcus_salivarius,0.0,0.00201,0.0,0.0,0.0
Turicimonas_muris,0.00351,0.0,0.0,0.0,0.0
